id,x,y,name,classname,region,toryvote,population,valgainprivrent,unitsperthouprivrent,valgainall,valgainallpc,aveval,wasparty,isparty,waspartynum,ispartynum,namelen
E14000836,22,22,"Normanton, Pontefract and Castleford",Normanton_Pontefract_and_Castleford,Yorkshire_And_The_Humber,24.5,107744,147.6,58,82.9,1.7,99004,Lab,Lab,0,0,36
E14000548,19,21,Batley and Spen,Batley_and_Spen,Yorkshire_And_The_Humber,33.6,108795,152.1,74,-38.5,-0.7,113445,Lab,Lab,0,0,15
E14000826,22,21,Morley and Outwood,Morley_and_Outwood,Yorkshire_And_The_Humber,35.3,96652,176,70,26.5,0.5,130043,Lab,Lab,0,0,18
E14000588,18,21,Bradford South,Bradford_South,Yorkshire_And_The_Humber,29.1,101998,176,88,-152.4,-3.9,90703,Lab,Lab,0,0,14
E14000723,19,22,Halifax,Halifax,Yorkshire_And_The_Humber,34,101865,185.4,92,-72.5,-1.5,103906,Lab,Lab,0,0,7
E14000666,21,22,Dewsbury,Dewsbury,Yorkshire_And_The_Humber,35,110878,162.9,66,-33,-0.5,134203,Con,Con,1,1,8
E14000724,23,22,Haltemprice and Howden,Haltemprice_and_Howden,Yorkshire_And_The_Humber,50.2,88966,151.6,51,258,3.6,184704,Con,Con,1,1,22
E14000689,23,20,Elmet and Rothwell,Elmet_and_Rothwell,Yorkshire_And_The_Humber,42.6,99635,199.4,51,-12.3,-0.1,199980,Con,Con,1,1,18
E14000919,19,26,Sheffield Central,Sheffield_Central,Yorkshire_And_The_Humber,10.1,118478,534,168,194.1,3.3,117553,Lab,Lab,0,0,17
E14000923,20,26,"Sheffield, Heeley",Sheffield_Heeley,Yorkshire_And_The_Humber,17.3,93560,136.4,62,-21.5,-0.5,94675,Lab,Lab,0,0,17
E14000922,21,27,"Sheffield, Hallam",Sheffield_Hallam,Yorkshire_And_The_Humber,23.5,90105,263.3,65,-233.5,-2.7,233924,LD,LD,0,0,17
E14000748,20,27,High Peak,High_Peak,East_Midlands,40.9,91118,233.6,72,307.1,4.5,167162,Con,Con,1,1,9
E14000904,21,25,Rotherham,Rotherham,Yorkshire_And_The_Humber,16.7,90307,118.8,69,32.3,0.9,90515,Lab,Lab,0,0,9
E14000921,20,25,"Sheffield, Brightside and Hillsborough",Sheffield_Brightside_and_Hillsborough,Yorkshire_And_The_Humber,11.5,107864,111,58,-111.8,-3.5,73239,Lab,Lab,0,0,38
E14000541,20,24,Barnsley Central,Barnsley_Central,Yorkshire_And_The_Humber,17.3,86555,97.3,76,28.6,0.7,96902,Lab,Lab,0,0,16
E14000669,23,23,Doncaster North,Doncaster_North,Yorkshire_And_The_Humber,21,98498,157.2,77,-151.3,-3.7,96664,Lab,Lab,0,0,15
E14000668,22,24,Doncaster Central,Doncaster_Central,Yorkshire_And_The_Humber,24.8,105529,231.1,100,-125.2,-2.6,102368,Lab,Lab,0,0,17
E14000667,23,24,Don Valley,Don_Valley,Yorkshire_And_The_Humber,29.7,98712,167.5,67,-93.3,-1.9,116520,Lab,Lab,0,0,10
E14000903,22,27,Rother Valley,Rother_Valley,Yorkshire_And_The_Humber,28.4,94644,134.7,60,-14.8,-0.3,130654,Lab,Lab,0,0,13
E14000920,21,26,Sheffield South East,Sheffield_South_East,Yorkshire_And_The_Humber,17.4,93056,107.4,50,-36.1,-0.9,98247,Lab,Lab,0,0,20
E14000542,21,24,Barnsley East,Barnsley_East,Yorkshire_And_The_Humber,16.5,91567,90.8,66,35.6,0.9,95179,Lab,Lab,0,0,13
E14001028,22,25,Wentworth and Dearne,Wentworth_and_Dearne,Yorkshire_And_The_Humber,17.6,95905,100.4,67,20.5,0.5,100791,Lab,Lab,0,0,20
E14000876,19,24,Penistone and Stocksbridge,Penistone_and_Stocksbridge,Yorkshire_And_The_Humber,31.2,87364,84.3,45,42.5,0.8,142266,Lab,Lab,0,0,26
E14000740,22,23,Hemsworth,Hemsworth,Yorkshire_And_The_Humber,24.3,94181,144.3,61,43.8,0.9,112336,Lab,Lab,0,0,9
E14001009,21,23,Wakefield,Wakefield,Yorkshire_And_The_Humber,35.6,95662,179.5,74,19,0.4,112671,Lab,Lab,0,0,9
E14000645,20,23,Colne Valley,Colne_Valley,Yorkshire_And_The_Humber,37,109785,197.5,81,-72.1,-1,142744,Con,Con,1,1,12
E14000614,18,22,Calder Valley,Calder_Valley,Yorkshire_And_The_Humber,39.4,103428,218,85,-176.5,-2.6,139963,Con,Con,1,1,13
E14000870,19,23,Oldham East and Saddleworth,Oldham_East_and_Saddleworth,North_West_,26.4,101980,178.8,68,50.3,0.9,122478,Lab,Lab,0,0,27
E14000897,17,22,Rochdale,Rochdale,North_West_,18.1,107928,189.4,75,91.8,2.1,98743,Lab,Lab,0,0,8
E14000793,12,27,"Liverpool, Riverside",Liverpool_Riverside,North_West_,10.9,116851,525.4,195,207.4,3.3,110036,Lab,Lab,0,0,20
E14001043,14,30,Wirral South,Wirral_South,North_West_,39.5,72495,138.9,58,-173.7,-3.1,174465,Lab,Lab,0,0,12
E14000559,14,29,Birkenhead,Birkenhead,North_West_,18.9,88888,191.3,112,-133.1,-3.2,98443,Lab,Lab,0,0,10
