"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Daniel Koellerer","59.2564","37.2982","58.5429","39.2283","63.6656","30.1449","59.4615","35.3434"
"Ricardo Mello","59.5446","36.4121","57.8231","36.7652","57.2781","33.2907","60.6076","36.6928"
"Richey Reneberg","62.261","39.1345","59.6765","41.2567","63.1828","37.1729","62.4785","39.5121"
"Jonas Bjorkman","61.492","39.6967","58.6131","38.8569","63.781","39.6861","61.3691","40.0911"
"Wally Masur","64.3758","36.9568","62.7278","38.0597","66.2454","36.7475","63.3333","37.4509"
"Eric Prodon","55.5348","30.4861","55.6226","29.4719","0","0","55.1237","34.9624"
"Rainer Schuettler","61.386","38.9895","58.3227","39.1715","64.6701","36.7755","61.7304","39.5629"
"Go Soeda","58.2944","34.9315","51.9497","36.3202","60.5719","36.497","58.6276","34.539"
"Karol Beck","60.366","36.2809","54.1586","35.3018","62.8869","33.9822","60.0604","37.3535"
"Horacio Zeballos","63.0515","32.5498","63.6285","34.0437","64.9805","28.8382","61.9247","30.6582"
"Adrian Ungur","57.3333","32.7869","58.4894","34.375","57.1856","25.614","51.7857","31.1897"
"Tatsuma Ito","59.3676","34.351","56.4516","33.4586","63.806","32.6633","58.3194","35.0628"
"Guido Pella","60.1052","33.7611","62.0742","34.9008","59.7826","34.5178","56.8299","31.339"
"John Isner","70.66","30.2051","69.1402","30.1348","74.1499","28.9717","70.6714","30.4014"
"Dominik Hrbaty","43.4783","32.6531","0","0","0","0","43.4783","32.6531"
"Dmitry Tursunov","63.4757","36.1465","59.9418","37.1341","65.7414","34.2766","63.641","36.4712"
"Ivan Dodig","63.2622","36.6114","60.124","37.9456","66.4458","33.2044","63.6158","36.8487"
"Marco Chiudinelli","62.0785","34.327","63.4941","32.5866","57.8667","35.4223","62.1237","34.569"
"Thomas Johansson","64.3535","36.9017","60.013","37.1996","65.2688","36.2881","64.3833","37.0514"
"Marinko Matosevic","60.0498","36.9902","57.128","37.6157","61.2772","35.1852","60.5107","37.162"
"Matthew Ebden","59.8454","35.0381","49.4505","33.2632","60.8025","33.6441","60.6113","35.5098"
"Michael Berrer","62.8989","34.6606","60.0542","35.1528","66.0736","30.3479","63.1783","35.171"
"Grega Zemlja","61.9597","35.0957","59.5614","38.1853","66.0044","31.6289","60.9387","35.6548"
"Jan-Michael Gambill","64.7516","35.8763","59.6568","35.6019","66.9718","34.6853","65.2012","36.1504"
"Jarkko Nieminen","61.8394","38.2626","59.5667","39.9884","64.1949","35.0836","62.4536","38.0572"
"Eduardo Schwank","61.2461","35.3436","61.8261","37.3295","56.6814","29.8969","61.4955","32.5779"
"Joao Sousa","60.2656","36.8631","59.7237","37.5909","65.5332","36.8499","60.0078","36.3036"
"Boris Pashanski","58.2356","35.377","57.093","36.7311","58.4906","27.3469","60.941","33.124"
"Frank Dancevic","63.7752","33.1883","61.244","32.3607","66.3272","32.9801","62.7465","33.4577"
"Lukas Lacko","62.0532","34.013","57.9832","30.4613","65.114","32.4579","61.8819","34.8716"
"Vasek Pospisil","65.0223","33.7187","60.6557","30.9524","65.2238","32.765","65.4345","34.1698"
"Alex Bogomolov Jr.","59.7076","37.5565","56.0224","37.6111","61.5635","36.2424","59.7576","37.7817"
"Denis Istomin","64.2191","35.399","61.809","34.9896","68.0415","33.791","63.9052","36.0515"
"Robby Ginepri","62.9639","36.9023","58.1351","36.8805","62.5964","35.9701","64.037","37.1485"
"Alejandro Gonzalez","58.1956","35.9608","56.6942","36.964","58.8652","30.6667","59.2239","35.7317"
