name,sA,rA,sC,rC,sG,rG,sH,rH
David Goffin,62.461,41.394,59.365,40.633,63.412,31.379,60.847,38.285
Tim Henman,64.372,39.273,61.127,40.889,65.827,39.23,64.565,38.94
David Nalbandian,62.421,41.292,61.656,42.76,62.782,40.106,62.869,40.486
Kei Nishikori,63.31,40.412,62.762,42.113,65.399,36.717,62.824,39.543
Sergi Bruguera,61.898,41.576,62.008,43.821,61.367,33.613,61.786,39.041
Marin Cilic,65.402,38.334,63.56,39.692,66.839,35.38,65.811,38.328
Gustavo Kuerten,65.188,38.277,63.546,41.534,68.224,34.341,66.401,35.843
Guillaume Rufin,62.878,40.382,58.253,36.461,61.427,34.67,61.7,35.734
Pablo Cuevas,64.263,39.161,62.591,38.916,61.209,33.602,62.521,35.361
Mario Ancic,66.357,37.097,63.321,38.854,68.841,35.9,66.607,36.929
Kevin Anderson,67.747,35.852,65.965,35.63,69.025,33.459,67.611,34.542
Tommy Haas,65.298,37.883,63.158,39.13,68.526,34.287,65.543,37.854
Goran Ivanisevic,67.919,35.118,63.187,38.545,72.55,33.122,67.73,34.498
Juan Carlos Ferrero,63.738,39.624,62.527,42.958,65.813,35.049,64.335,37.63
Federico Delbonis,63.962,39.273,64.496,37.882,63.285,25.628,62.042,30.937
Guy Forget,66.919,36.261,60.25,37.713,69.411,33.433,67.742,36.172
Nicolas Almagro,65.875,37.382,65.713,39.079,69.24,30.84,65.891,36.324
Ricardas Berankis,64.427,38.796,62.352,35.783,67.244,29.982,61.673,36.902
Yevgeny Kafelnikov,63.04,39.833,59.806,41.049,64.747,37.826,64.146,39.563
Julian Reister,62.266,40.756,59.915,38.024,62.603,34.059,56.604,32.619
Blaz Kavcic,61.016,42.105,58.243,39.714,58.039,30.511,59.32,37.668
Thomas Enqvist,63.784,39.13,59.523,40.957,65.686,35.927,64.395,38.813
Grigor Dimitrov,66.061,36.987,65.376,38.172,68.294,35.952,65.387,35.572
Pablo Carreno Busta,60.884,42.21,59.381,38.235,49,35.345,61.719,35.324
Sebastien Grosjean,63.366,39.633,60.72,41.626,66.186,38.96,63.608,39.161
Andrey Kuznetsov,62.649,40.636,59.395,36.736,64.168,35.53,59.637,37.431
Greg Rusedski,68.284,34.562,60.954,35.055,71.032,34.244,67.909,34.706
Stan Wawrinka,64.531,38.263,63.683,39.912,66.581,34.243,64.641,37.918
Magnus Gustafsson,61.681,41.351,59.989,43.434,61.019,38.456,62.103,40.296
